"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Ref.";
1;"D1,D2";"D_DO-41_SOD81_P10.16mm_Horizontal";2;"1N4001";;;
2;"REF**,REF**,REF**,REF**";"1pin-vdd";4;"1pin";;;
3;"C1,C2";"CP_Radial_D5.0mm_P2.00mm";2;"10µF";;;
4;"C3,C4";"CP_Radial_D5.0mm_P2.00mm";2;"1µF";;;
5;"C5,C6,C7,C8,C9,C10,C11,C12";"C_Disc_D5.0mm_W2.5mm_P2.50mm";8;"100nF";;;
6;"J1";"MTA-100-3p";1;"CV1 100KB";;;
7;"J2";"MTA-100-3p";1;"CV2 100KB";;;
8;"J3";"MTA-100-3p";1;"CV3 100KB";;;
9;"J4";"MTA-100-3p";1;"CV4 100KB";;;
10;"J5";"MTA-100-3p";1;"CV5 100 KB";;;
11;"J11";"MTA-100-2p";1;"CV4";;;
12;"J12";"MTA-100-2p";1;"CV5";;;
13;"J13";"MTA-100-2p";1;"CV1";;;
14;"J14";"MTA-100-2p";1;"CV2";;;
15;"J15";"MTA-100-2p";1;"CV3";;;
16;"P2";"Pin_Header_Straight_2x08_Pitch2.54mm";1;"EURO";;;
17;"R1,R2,R3,R4,R5,R11,R12,R13,R14,R15,R16,R17";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";12;"1K";;;
18;"R6,R7,R8,R9,R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";5;"100K";;;
19;"U1,U3,U5";"DIP-8_W7.62mm";3;"TL082";;;
20;"U2";"TO-92_Inline_Wide";1;"7805";;;
21;"P1";"MTA156";1;"MOTM";;;
22;"J6";"Cliff1384";1;"Out-CV1";;;
23;"J7";"Cliff1384";1;"Out-CV2";;;
24;"J8";"Cliff1384";1;"Out-CV3";;;
25;"J9";"Cliff1384";1;"Out-CV4";;;
26;"J10";"Cliff1384";1;"Out-CV-5";;;
